id,text,is_complaint_true
1,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
2,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
3,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
4,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
5,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
6,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
7,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
8,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
9,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
10,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
11,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
12,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
13,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
14,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
15,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
16,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
17,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
18,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
19,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
20,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
21,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
22,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
23,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
24,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
25,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
26,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
27,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
28,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
29,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
30,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
31,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
32,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
33,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
